dt,AverageTemperature,State,Country
2009,-0.8226337662337642,Florida,United States
2010,0.7350207792207755,Florida,United States
2011,-1.624124675324694,Florida,United States
2012,-1.3924155844155877,Florida,United States
2013,-1.3924155844155877,Georgia (State),United States
1950,0.24879324675325165,Georgia (State),United States
1951,-0.055930389610381326,Georgia (State),United States
1952,0.3084877922077993,Georgia (State),United States
1953,-0.12743948051945608,Georgia (State),United States
1954,-0.49447584415582924,Georgia (State),United States
1955,-0.08440311688310942,Georgia (State),United States
1956,-0.5389849350649172,Georgia (State),United States
1957,-0.3558758441558325,Georgia (State),United States
1958,1.3335059740259965,Georgia (State),United States
1959,-0.19485766233763968,Georgia (State),United States
1960,1.583705974025989,Georgia (State),United States
1961,0.4875059740259928,Georgia (State),United States
1962,0.27510597402599046,Georgia (State),United States
1963,1.3125605194805416,Georgia (State),United States
1964,0.7113605194805359,Georgia (State),United States
1965,0.35463324675326646,Georgia (State),United States
1966,1.373596883116889,Georgia (State),United States
1967,1.151378701298711,Georgia (State),United States
1968,1.6306696103896172,Georgia (State),United States
1969,1.6697787012987249,Georgia (State),United States
1970,-0.037930389610380644,Georgia (State),United States
1971,0.06450597402599101,Georgia (State),United States
1972,0.3945605194805353,Georgia (State),United States
1973,-0.10731220779219086,Georgia (State),United States
1974,0.6210332467532567,Georgia (State),United States
1975,0.0505968831168957,Georgia (State),United States
1976,1.6899059740260043,Georgia (State),United States
1977,-0.41576675324674284,Georgia (State),United States
1978,0.25350597402598396,Georgia (State),United States
1979,0.8141241558441692,Georgia (State),United States
1980,0.593705974025994,Georgia (State),United States
1981,0.6913968831168944,Georgia (State),United States
1982,-0.7620212987012707,Georgia (State),United States
1983,1.3218877922078178,Georgia (State),United States
1984,-0.1577122077921871,Georgia (State),United States
